CustomerID:string,~label,Country_of_Residence:string,context_type:string,description:string,tree_name:string,effectiveFrom:string,~id
17850.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,385ef48b-3293-447d-8beb-73f6372e2c84
13047.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,efd0d6ac-eee1-4fc9-8595-67f4d5f636a0
12583.0,Customer Purchase,France,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ccb56625-4065-4f59-aaf8-66756c9ecf9d
13748.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ea3fdb1b-0f89-48a9-b63b-c85ff298f598
15100.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,c29ba84c-ee95-46b4-9101-2b7e5a4ff5a8
15291.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,28f4ff9e-6fc6-4c9a-ac54-cbbd802d8cc9
14688.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,4af07a7e-140b-4898-b93b-bcdc90807685
17809.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ff5cc8a8-da7f-499f-b452-08b24a5d8374
15311.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,af9ad17a-7f19-4743-b14c-c9927e37ce79
14527.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,add93662-084a-4cc9-a27e-e89d0ef4d99e
16098.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,87acac8d-96e8-46fb-9c2e-320fd41601f5
18074.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,23afeb07-dbef-411f-acfb-70902029a5a6
17420.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,2ad07756-c62c-4712-bbd6-5b9c6d995a06
16029.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,bb2d6da3-bca7-4974-a3d2-ba77d08895d3
16250.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,78f5d40d-57ac-49f6-9356-4048231d5cfe
12431.0,Customer Purchase,Australia,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,d0f61ab1-99c2-409b-80d9-5fba9ea4a5f1
17511.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,379d136f-c9d7-4321-884d-cfc17ad3d5df
17548.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,56089165-b6e1-407b-9b2c-a92952125f30
13705.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,3938d89d-3069-4adf-a46f-bd428b9da93b
13747.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,f2f2d9a2-7286-4e6a-83bf-654494d04f62
13408.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,82f0bae0-a457-4c1c-a5d2-b4b5da7a401f
13767.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,9096857a-21e7-4f56-a34e-ecee827c153b
17924.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ef5c40f6-ffca-42a7-bfcf-149844006109
13448.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,6b1f9adc-8536-4186-8911-5c11538321e9
15862.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,4c95b9cc-c67b-4d63-9744-fd55e3e4a841
15513.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,c7c6a24e-bb18-4869-9acd-16ddf69f4d68
12791.0,Customer Purchase,Netherlands,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,be8e481c-26b6-45c7-b04c-3e80cc782400
16218.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,cddb1ba6-0ba9-4a6b-b2e1-6c7840a8431a
14045.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,7b73e5cb-6e7d-4342-a576-52ba04456e36
14307.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,0de41b0e-d472-4f56-ba92-ac6a4183c94f
17908.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,2c3fa048-00ea-4377-883e-24026b723c96
17920.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,240c0ce3-b7c1-4f33-8015-b95eb3f029ba
N/A,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,fa91006f-1aeb-4e52-a58c-8d80fcc1b363
12838.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,a6a99fd7-fd1d-44a2-b063-fd3c009a577f
13255.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ff85e280-58da-46bc-bbfa-02a9d012e727
16583.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,f5ad6e75-05b1-4414-8517-b5654b02f87b
18085.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,964c85f8-c699-4ed3-a9a2-8dd58d035fe3
13758.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,d85fe70b-47f5-44d4-a612-5a4cf324e9c0
13694.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,5998014a-a4b0-4133-900e-707f2c4c527b
15983.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,f9e70143-d86f-4e29-8886-4d9561dc39c3
14849.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,b81f1301-761e-4571-bf0c-875076a3b896
17968.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,2efe5784-dd01-4eb9-8b76-3409954b10e9
16210.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,c846edfd-a6d9-417b-abe5-e250d323383c
17897.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,beaf6896-cb9c-4088-973e-7dcd0428ceb7
17377.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,4acd39fd-bb39-41f7-908a-a528a4fa151d
16552.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,ba71d8ac-cb3b-42fc-9d05-caa2d68d3521
17181.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,01c6a173-888a-4dc4-8ce7-4172d6532720
17951.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,41265228-1e76-40c3-98db-ead1b9254340
14729.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,254ae6e6-1891-4375-bc3a-e79b2ec549b6
12748.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,bbaed259-6031-4a5f-8599-127ff7b5d583
15012.0,Customer Purchase,United Kingdom,Customer details,Customer Purchase history Tree,Customer Purchase history,20250401120000,f7a46569-dc51-456c-bfe1-6bf7aae27080
